"Plot Title: 20970093"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970093, SEN S/N: 20970093)","Coupler Detached (LGR S/N: 20970093)","Coupler Attached (LGR S/N: 20970093)","Host Connected (LGR S/N: 20970093)","Stopped (LGR S/N: 20970093)","End Of File (LGR S/N: 20970093)"
1,10/05/23 01:00:00 AM,21.437,Logged,,,,
2,10/05/23 01:10:00 AM,21.390,,,,,
3,10/05/23 01:20:00 AM,21.366,,,,,
4,10/05/23 01:30:00 AM,21.461,,,,,
5,10/05/23 01:40:00 AM,21.509,,,,,
6,10/05/23 01:50:00 AM,21.581,,,,,
7,10/05/23 02:00:00 AM,21.724,,,,,
8,10/05/23 02:10:00 AM,21.676,,,,,
9,10/05/23 02:20:00 AM,21.700,,,,,
10,10/05/23 02:30:00 AM,21.795,,,,,
11,10/05/23 02:40:00 AM,21.795,,,,,
12,10/05/23 02:50:00 AM,21.724,,,,,
13,10/05/23 03:00:00 AM,21.795,,,,,
14,10/05/23 03:10:00 AM,21.891,,,,,
15,10/05/23 03:20:00 AM,21.772,,,,,
16,10/05/23 03:30:00 AM,21.772,,,,,
17,10/05/23 03:40:00 AM,21.867,,,,,
18,10/05/23 03:50:00 AM,21.963,,,,,
19,10/05/23 04:00:00 AM,21.795,,,,,
20,10/05/23 04:10:00 AM,21.819,,,,,
21,10/05/23 04:20:00 AM,21.915,,,,,
22,10/05/23 04:30:00 AM,21.987,,,,,
23,10/05/23 04:40:00 AM,21.843,,,,,
24,10/05/23 04:50:00 AM,21.843,,,,,
25,10/05/23 05:00:00 AM,21.939,,,,,
26,10/05/23 05:10:00 AM,22.011,,,,,
27,10/05/23 05:20:00 AM,22.058,,,,,
28,10/05/23 05:30:00 AM,22.106,,,,,
29,10/05/23 05:40:00 AM,21.963,,,,,
30,10/05/23 05:50:00 AM,21.939,,,,,
31,10/05/23 06:00:00 AM,22.011,,,,,
32,10/05/23 06:10:00 AM,22.058,,,,,
33,10/05/23 06:20:00 AM,22.106,,,,,
34,10/05/23 06:30:00 AM,22.154,,,,,
35,10/05/23 06:40:00 AM,22.011,,,,,
36,10/05/23 06:50:00 AM,21.963,,,,,
37,10/05/23 07:00:00 AM,22.011,,,,,
38,10/05/23 07:10:00 AM,22.058,,,,,
39,10/05/23 07:20:00 AM,22.106,,,,,
40,10/05/23 07:30:00 AM,22.011,,,,,
41,10/05/23 07:40:00 AM,21.963,,,,,
42,10/05/23 07:50:00 AM,22.058,,,,,
43,10/05/23 08:00:00 AM,22.058,,,,,
44,10/05/23 08:10:00 AM,21.963,,,,,
45,10/05/23 08:20:00 AM,22.058,,,,,
46,10/05/23 08:30:00 AM,22.633,,,,,
47,10/05/23 08:40:00 AM,24.436,,,,,
48,10/05/23 08:50:00 AM,25.453,,,,,
49,10/05/23 09:00:00 AM,27.112,,,,,
50,10/05/23 09:10:00 AM,29.389,,,,,
51,10/05/23 09:20:00 AM,29.140,,,,,
52,10/05/23 09:30:00 AM,34.150,,,,,
